block,transect,elevation,ndvi,live,dead,ground
1,1,426,0.0547,18.865,25.17,4
1,2,435,0.0508,13.49,12.33,60
1,3,463,0.0311,13.03,11.155,70
1,4,521,0.0056,25.915,11.385,35
1,5,537,0.13,20.055,23.02,50
1,6,511,0.0124,24.2,15.755,60
1,7,475,0.0228,2.67,0.74,60
1,8,459,0.0043,2.56,1.085,80
1,9,466,0.0124,14.07,1.81,90
1,10,503,0.037,12.075,4.425,60
1,11,527,0.0517,18.735,8.965,70
1,12,579,0.0427,21.875,9.995,80
1,13,560,0.0508,11.455,2.33,80
1,14,542,0.0252,44.435,14.045,60
1,15,520,0.0762,22.555,70.275,20
1,16,482,0.0413,2.75,3.385,70
2,17,703,0.0516,28.895,20.43,65
2,18,632,0.1121,19.66,5.125,35
2,19,604,0.048,15.73,7.92,30
2,20,574,0.0435,9.505,6.575,35
2,21,573,0.083,33,25.12,40
2,22,605,0.0802,23.995,10.795,25
2,23,641,0.0598,27.835,18.11,30
2,24,663,0.0749,21.145,14.185,45
2,25,617,0.0655,15.765,7.69,65
2,26,579,0.0583,14.46,16.77,40
2,27,564,0.0876,2.93,4.625,50
2,28,555,0.0691,10.715,15.11,40
2,29,612,0.0679,21.45,5.795,70
2,30,591,0.0942,13.47,8.84,80
2,31,580,0.2087,48.185,15.145,0
2,32,578,0.0563,12.49,14.3,45
3,33,883,0.2348,80.875,12.22,0
3,34,873,0.2077,60.13,60.54,0
3,35,877,0.1894,45.38,23.16,15
3,36,900,0.1855,15.945,16.32,10
3,37,893,0.1681,46.835,22.615,35
3,38,867,0.166,49.505,34.01,5
3,39,871,0.1883,37.79,9.755,30
3,40,869,0.2884,53.645,63.415,0
3,41,838,0.2167,54.145,31.49,1
3,42,831,0.2749,44.42,98.27,5
3,43,849,0.1066,40.22,36.175,30
3,44,872,0.2171,46.76,32.745,2
3,45,844,0.166,56.76,33.02,40
3,46,818,0.1406,26,20.605,60
3,47,813,0.1638,49.99,7.78,70
3,48,812,0.1705,50.755,44.035,1
4,49,677,0.0776,8.575,8,30
4,50,688,0.1542,13.515,14.475,70
4,51,699,0.1368,22.16,11.74,50
4,52,725,0.0679,18.88,13.4,40
4,53,723,0.0833,18.08,8.9,40
4,54,708,0.0563,2.515,4.25,30
4,55,694,0.1466,34.26,18.54,20
4,56,689,0.1383,14.605,6.325,30
4,57,683,0.1004,20.695,19.52,40
4,58,693,0.1301,31.65,22.74,15
4,59,720,0.0655,12.685,19.13,20
4,60,727,0.0973,13.535,29.945,20
4,61,739,0.251,58.145,63.045,20
4,62,715,0.1488,25.365,32.88,5
4,63,700,0.0791,30.26,16.895,10
4,64,689,0.181,14.93,29.505,15
5,65,789,0.2114,34.545,30.885,5
5,66,767,0.1393,8.635,2.755,25
5,67,740,0.1138,44.57,20.55,15
5,68,729,0.1139,30.74,33.405,10
5,69,725,0.0802,8.17,13.50333333,20
5,70,738,0.0598,28.535,19.685,25
5,71,780,0.1159,28.18,19.69,20
5,72,797,0.0736,11.695,4.815,45
5,73,764,0.1139,35.98,21.66,25
5,74,748,0.123,27.75,26.975,20
5,75,729,0.0644,70.595,28.425,30
5,76,704,0.2016,55.46,33.745,20
5,77,737,0.0815,22.28,10.6,30
5,78,740,0.1066,23.02,9.36,30
5,79,768,0.0909,33.18,23.82,20
5,80,767,0.128,50.08,31.755,5
6,81,851,0.1351,20.445,7.165,10
6,82,869,0.2164,78.195,51.895,2
6,83,872,0.1769,20.58,8.265,0
6,84,864,0.3833,54.94,56.925,0
6,85,816,0.2392,59.815,18.5,0
6,86,842,0.2749,39.1,10.645,0
6,87,838,0.1737,38.41,24.42,20
6,88,816,0.2314,36.77,32.585,0
6,89,815,0.1984,72.91,28.17,0
6,90,817,0.1983,29.91,19.36,5
6,91,800,0.2256,23.71,24.62,0
6,92,791,0.2748,40.79,66.335,0
6,93,783,0.3414,52.645,24.98,0
6,94,797,0.2197,25.49,5.125,0
6,95,801,0.1825,41.89,30.78,0
6,96,825,0.3092,36.73,27.835,0
